id,name,type,target,detail,content,comment
1001,燃烧征程1,1,10105,0,通過迷霧之森地圖。,點擊<出擊>-<劇情>-選擇相應區域進入。
1002,历练之路1,2,5,0,通過迷霧之森地圖。,點擊<出擊>-<劇情>-選擇相應區域進入。
1003,杀戮战场1,3,3,0,通過迷霧之森地圖。,點擊<出擊>-<劇情>-選擇相應區域進入。
1004,不败王者1,4,3,0,通過迷霧之森地圖。,點擊<出擊>-<劇情>-選擇相應區域進入。
1005,疯狂史莱姆1,5,2,1,通過迷霧之森地圖。,點擊<出擊>-<劇情>-選擇相應區域進入。
1006,水晶矿场1,5,2,2,通過迷霧之森地圖。,點擊<出擊>-<劇情>-選擇相應區域進入。
1007,远古战场,5,2,3,通過迷霧之森地圖。,點擊<出擊>-<劇情>-選擇相應區域進入。
2001,千锤百炼1,8,5,0,通過迷霧之森地圖。,點擊<出擊>-<劇情>-選擇相應區域進入。
2002,脱胎换骨1,9,1,0,通過迷霧之森地圖。,點擊<出擊>-<劇情>-選擇相應區域進入。
2003,登峰造极1,10,1,0,通過迷霧之森地圖。,點擊<出擊>-<劇情>-選擇相應區域進入。
2004,如虎添翼1,11,1,3,通過迷霧之森地圖。,點擊<出擊>-<劇情>-選擇相應區域進入。
2005,千军万马1,12,10,0,通過迷霧之森地圖。,點擊<出擊>-<劇情>-選擇相應區域進入。
2006,召唤大师1,13,30,0,通過迷霧之森地圖。,點擊<出擊>-<劇情>-選擇相應區域進入。
